Company Name,Open,High,Low,LTP,Change,LTP,% Change,No. of Shares Traded,No. of Trades,Date Updated
Grasim Industries Ltd.,4865,4931.25,4855.65,4901,64.45,4901,1.33,81303,10322,10/3/2016
Hcl Technologies Ltd.,805,812,794.4,811,11.1,811,1.39,1516868,62820,10/3/2016
HDFC Bank Ltd,1281,1289.9,1276.4,1288.25,15.4,1288.25,1.21,975137,37847,10/3/2016
Hero Motocorp Ltd.,3436.4,3540,3435.9,3534,120.3,3534,3.52,387724,33231,10/3/2016
Hindalco Industries Ltd.,154.5,155.2,152.6,154.2,1.5,154.2,0.98,9299252,47480,10/3/2016
Hindustan Unilever Ltd.,878,878,860.2,869.9,2.05,869.9,0.24,2066037,54732,10/3/2016
Housing Development Finance Corp.Ltd.,1401,1430.2,1386,1424.3,30.85,1424.3,2.21,1189432,70398,10/3/2016
Icici Bank Ltd.,251,256.9,250.1,256.45,4.3,256.45,1.71,16420289,102051,10/3/2016
Idea Cellular Ltd.,80.1,81.4,79,81.05,1.95,81.05,2.47,6320690,30880,10/3/2016
Indusind Bank Ltd.,1201,1240,1193.9,1230.95,35,1230.95,2.93,1151991,67744,10/3/2016
Infosys Ltd.,1035.5,1040,1026.1,1039.55,3.5,1039.55,0.34,1828080,64407,10/3/2016
Itc Ltd.,244.2,244.2,241.55,241.95,0.6,241.95,0.25,6465942,94562,10/3/2016
Kotak Mahindra Bank Ltd.,788.95,792.7,783.15,789.45,12.45,789.45,1.6,982792,25048,10/3/2016
Larsen & Toubro Ltd.,1438.05,1474.75,1435.2,1471,37.85,1471,2.64,1454479,56446,10/3/2016
Lupin Ltd.,1486.25,1506.6,1484.55,1494.8,8.55,1494.8,0.58,573882,22157,10/3/2016
Mahindra & Mahindra Ltd.,1413,1452,1400.05,1445.15,39.45,1445.15,2.81,1801610,45605,10/3/2016
Maruti Suzuki India Ltd.,5661,5720,5631.8,5680.1,202.8,5680.1,3.7,840940,67507,10/3/2016
Ntpc Ltd.,148.75,151.65,148.5,150.4,2.4,150.4,1.62,2048801,16337,10/3/2016
Oil And Natural Gas Corporation Ltd.,257,261.95,252.4,261.35,4.7,261.35,1.83,4640147,76551,10/3/2016
Power Grid Corporation Of India Ltd.,177.15,182.9,175.6,181.8,5.25,181.8,2.97,5289415,54711,10/3/2016
Reliance Industries Ltd.,1087,1107.95,1076.25,1090,6.3,1090,0.58,4143109,108886,10/3/2016
State Bank Of India,253,256.65,252.65,255.1,3.85,255.1,1.53,9314647,74160,10/3/2016
Sun Pharmaceutical Industries Ltd.,750,761,750,758.2,15.5,758.2,2.09,1856097,36270,10/3/2016
Tata Consultancy Services Ltd.,2450,2457.65,2401.1,2407.5,-23.3,2407.5,-0.96,909440,50401,10/3/2016
Tata Motors  Ltd - DVR,344,349.35,343.1,347.3,6.8,347.3,2,1381744,35466,10/3/2016
Tata Motors Ltd.,539.4,546,539,541.5,6.65,541.5,1.24,4505939,78127,10/3/2016
Tata Power Co.Ltd.,75.5,76.8,75.4,76.6,1.2,76.6,1.59,2908866,13174,10/3/2016
Tata Steel Ltd.,376.9,384.8,376.3,383.2,8.95,383.2,2.39,4480810,45832,10/3/2016
Tech Mahindra Ltd.,420,425,418.2,420.95,1.1,420.95,0.26,1754766,28561,10/3/2016
Ultratech Cement Ltd.,3874.9,3935,3853.6,3929,77.45,3929,2.01,249528,33949,10/3/2016
Wipro Ltd.,480,480.1,474.3,479,0.05,479,0.01,1000629,31128,10/3/2016
Yes Bank Ltd.,1275,1283,1263.25,1271.6,16.9,1271.6,1.35,2167577,69620,10/3/2016
Zee Entertainment Enterprises Ltd.,552.4,589.9,548.75,578.65,31.9,578.65,5.83,3906682,62907,10/3/2016
