Company Name,Open,High,Low,LTP,Change,LTP,% Change,No. of Shares Traded,No. of Trades,Date Updated
Idea Cellular Ltd.,80.55,80.55,79.55,80.05,0.1,80.05,0.13,4357991,21839,10/7/2016
Indusind Bank Ltd.,1223,1228,1208.15,1226,3.85,1226,0.32,488607,23859,10/7/2016
Infosys Ltd.,1029.95,1033.8,1010.1,1011,-16.4,1011,-1.6,3144279,134156,10/7/2016
Itc Ltd.,237.9,240.25,236.75,238.75,1.35,238.75,0.57,4010140,38770,10/7/2016
Kotak Mahindra Bank Ltd.,782.6,785,775.15,782.55,-0.45,782.55,-0.06,740458,14263,10/7/2016
Larsen & Toubro Ltd.,1453,1459.9,1441,1458,3.5,1458,0.24,732501,29047,10/7/2016
Lupin Ltd.,1487.35,1505,1485,1501,14.1,1501,0.95,1410496,38276,10/7/2016
Mahindra & Mahindra Ltd.,1375,1388,1370,1370.8,-2.1,1370.8,-0.15,687365,27503,10/7/2016
Maruti Suzuki India Ltd.,5709.45,5717.25,5667.3,5683,-27.45,5683,-0.48,309473,24338,10/7/2016
Ntpc Ltd.,149,150.15,147.7,148,-0.95,148,-0.64,2354100,35857,10/7/2016
Oil And Natural Gas Corporation Ltd.,270.4,273.7,266.7,267.9,-1.25,267.9,-0.46,7732452,70886,10/7/2016
Power Grid Corporation Of India Ltd.,177.9,179.6,176.3,177.4,-0.5,177.4,-0.28,2238796,11654,10/7/2016
Reliance Industries Ltd.,1114,1123.05,1106.5,1106.95,-3.85,1106.95,-0.35,3492838,74933,10/7/2016
State Bank Of India,257.25,259.9,255.25,258.05,1.25,258.05,0.49,11934100,72975,10/7/2016
Sun Pharmaceutical Industries Ltd.,756,756.2,748.8,749.5,-3.4,749.5,-0.45,1554398,30799,10/7/2016
Tata Consultancy Services Ltd.,2388,2388,2358.2,2370,-18.75,2370,-0.78,908256,45358,10/7/2016
Tata Motors  Ltd - DVR,353.75,367.35,353.7,366,12.95,366,3.67,1811691,35412,10/7/2016
Tata Motors Ltd.,554.5,567.3,552.6,565,13.55,565,2.46,9122002,77266,10/7/2016
Tata Power Co.Ltd.,79,81.1,78.25,81,1.95,81,2.47,4301610,24397,10/7/2016
Tata Steel Ltd.,392.9,407.6,390.2,406.55,16.7,406.55,4.28,11610384,113299,10/7/2016
Tech Mahindra Ltd.,421.9,424.4,417.2,420.75,0,420.75,0,1562901,38568,10/7/2016
Ultratech Cement Ltd.,3980,3980,3905.55,3935,-25.2,3935,-0.64,117828,15220,10/7/2016
Wipro Ltd.,478,479.7,475.6,476.8,-1.2,476.8,-0.25,1043681,21947,10/7/2016
Yes Bank Ltd.,1276,1284.8,1266.15,1273.95,-6.1,1273.95,-0.48,1796464,41573,10/7/2016
Zee Entertainment Enterprises Ltd.,558.5,573.5,555.5,571,16.1,571,2.9,1273456,22751,10/7/2016
